id,sequence,year,type,social_event,title,date,time,organization,subject1,subject2,keywords
A016B,728,2004,Allied Organization,,Digital Preservation and Electronic Scholarly Editions,30-DEC-04,12:00 noon+1:15 p.m.,Association for Computers and the Humanities,General Literature,"Electronic Technology (Teaching, Research, and Theory)",
D015A,628,2004,Division or Discussion Group,,African Language Writing into the Twenty-First Century,29-DEC-04,9:00+10:15 p.m.,,,,
D015B,276,2004,Division or Discussion Group,,"J. M. Coetzee, African Nobelist",28-DEC-04,3:30+4:45 p.m.,,,,
D015C,424,2004,Division or Discussion Group,,The City in African Literatures,29-DEC-04,10:15+11:30 a.m.,,,,
A107A,146,2004,Allied Organization,,Edith Wharton and the Arts,28-DEC-04,10:15+11:30 a.m.,Edith Wharton Society,American Literature,Twentieth Century,
A093A,337,2004,Allied Organization,,Problems in the Romance Epic $cI$k,28-DEC-04,7:15+8:30 p.m.,"Société Rencesvals, American-Canadian Branch",French Literature,Medieval and Renaissance,
A121A,550,2004,Allied Organization,,Ezra Pound's American Voices,29-DEC-04,3:30+4:45 p.m.,Ezra Pound Society,American Literature,Twentieth Century/Poetry,
D085,108,2004,Division or Discussion Group,,Irish Studies and Race,28-DEC-04,8:30+9:45 a.m.,Anglo-Irish Literature,Other Literature in English,Irish,
A093B,727,2004,Allied Organization,,Problems in the Romance Epic $cII$k,30-DEC-04,12:00 noon+1:15 p.m.,"Société Rencesvals, American-Canadian Branch",French Literature,Medieval and Renaissance,
A111A,769,2004,Allied Organization,,The Work of Women Chairs:  A Roundtable,30-DEC-04,1:45+3:00 p.m.,Women's Caucus for the Modern Languages,The Profession,General/Feminist,
D130,319,2004,Division or Discussion Group,,Learning for Life: Producing and Becoming Lifelong Learners,28-DEC-04,7:15+8:30 p.m.,the Two-Year College,General Literature,Nonfictional Prose,
D127,186,2004,Division or Discussion Group,,Sexuality's Plantation Myth(s),28-DEC-04,12:00 noon+1:15 p.m.,Southern Literature,American Literature,General,
D058B,376,2004,Division or Discussion Group,,"Text as Spectacle, Spectacle as Text $cI$k",29-DEC-04,8:30+9:45 a.m.,German Literature to 1700,German Literature,Before 1700,
D006C,347,2004,Division or Discussion Group,,Women and Criminality/Liminality,29-DEC-04,8:30+9:45 a.m.,Women's Studies in Language and Literature,General Literature,Literary Criticism and Theory/Feminist,
A058A,184,2004,Allied Organization,,Brecht and Postwar Popular Music,28-DEC-04,12:00 noon+1:15 p.m.,International Brecht Society,German Literature,Twentieth Century,
M020B,3,2004,MLA Organization,,A Preconvention Workshop for Job Seekers in Foreign Languages,27-DEC-04,3:30+4:45 p.m.,ADFL Executive Committee,The Profession,Foreign Languages,
A098A,733,2004,Allied Organization,,The Borders of Southern Literature,30-DEC-04,1:45+3:00 p.m.,Society for the Study of Southern Literature,American Literature,Twentieth Century,
M015A,107,2004,MLA Organization,,The Small-College Department: Jobs for Generalists,28-DEC-04,8:30+9:45 a.m.,Office of English Programs,The Profession,English and American,
A073A,768,2004,Allied Organization,,Surviving Ethnicity: Trauma in Multiethnic Literatures,30-DEC-04,1:45+3:00 p.m.,MELUS: The Society for the Study of the Multi-Ethnic Literature of the United States,American Literature,General,
A073B,275,2004,Allied Organization,,Ethnicity and Poetry,28-DEC-04,3:30+4:45 p.m.,MELUS: The Society for the Study of the Multi-Ethnic Literature of the United States,American Literature,General,
M037A,552,2004,MLA Organization,,Sex and Disability,29-DEC-04,3:30+4:45 p.m.,Committee on Disability Issues in the Profession,The Profession,General,
M020A,604,2004,MLA Organization,,"Who Teaches Borges, Brecht, Cervantes, and Nabokov?",29-DEC-04,7:15+8:30 p.m.,ADFL Executive Committee,The Profession,Foreign Languages,
A115A,726,2004,Allied Organization,,Australia:  Past and Present,30-DEC-04,12:00 noon+1:15 p.m.,American Association of Australian Literary Studies,Other Literature in English,Australian,
M002A,46,2004,MLA Organization,,A Mock Interview for Job Seekers in Foreign Languages,27-DEC-04,8:45+10:00 p.m.,Association of Departments of Foreign Languages,The Profession,Foreign Languages,
A024A,705,2004,Allied Organization,,"""Know Happiness"": Samuel Beckett and Joy",30-DEC-04,12:00 noon+1:15 p.m.,Samuel Beckett Society,General Literature,Drama,
A024B,511,2004,Allied Organization,,Faux départs: Composer Paul Rhys on Samuel Beckett and Musical Composition,29-DEC-04,1:45+3:00 p.m.,Samuel Beckett Society,General Literature,Drama,
A118A,423,2004,Allied Organization,,The Major in Composition and Rhetoric,29-DEC-04,10:15+11:30 a.m.,,,,
A007A,704,2004,Allied Organization,,Irish Writing and the Public Sphere,30-DEC-04,12:00 noon+1:15 p.m.,American Conference for Irish Studies,Other Literature in English,Irish,
A018B,703,2004,Allied Organization,,American Indian Literature and Visual Culture,30-DEC-04,12:00 noon+1:15 p.m.,Association for the Study of American Indian Literatures,American Literature,General/Indian,
A051A,470,2004,Allied Organization,,"Square Pegs, Round Holes: The Paradox of Interdisciplinary Work in a Circumscribed Job Market",29-DEC-04,12:00 noon+1:15 p.m.,Graduate Student Caucus,The Profession,General,
M040A,181,2004,MLA Organization,,Teaching Tolerance: Combating Bigotry,28-DEC-04,12:00 noon+1:15 p.m.,Ad Hoc Committee on Diversity and Tolerance,The Profession,General,
A064B,701,2004,Allied Organization,,Intercultural Imaginings after Waterloo,30-DEC-04,12:00 noon+1:15 p.m.,Keats-Shelley Association of America,British Literature,Nineteenth Century/Romantics,
M004A,227,2004,MLA Organization,,Service and Activism at Mid-Career,28-DEC-04,1:45+3:00 p.m.,Committee on the Status of Women in the Profession,The Profession,General/Feminist,
A090A,151,2004,Allied Organization,,The Josephine A. Roberts Forum: English Renaissance Manuscript Miscellanies,28-DEC-04,12:00 noon+1:15 p.m.,Renaissance English Text Society,British Literature,Renaissance and Elizabethan,
A090B,700,2004,Allied Organization,,Open Business Meeting of the Renaissance English Text Society,30-DEC-04,12:00 noon+1:15 p.m.,Renaissance English Text Society,British Literature,Renaissance and Elizabethan,
M004B,510,2004,MLA Organization,,Conceptualizing the Posttenure Research Agenda,29-DEC-04,1:45+3:00 p.m.,Committee on the Status of Women in the Profession,The Profession,General/Feminist,
M007C,164,2004,MLA Organization,,Philadelphia and Black Writers on Fire,28-DEC-04,12:00 noon+1:15 p.m.,Committee on the Literatures of People of Color in the United States and Canada,American Literature,General,
A015A,509,2004,Allied Organization,,The Power of Praxis $cI$k:  Linking Theory and Practice in Professional Communication,29-DEC-04,1:45+3:00 p.m.,,,,
A036B,764,2004,Allied Organization,,Conrad in the Twenty-First Century,30-DEC-04,1:45+3:00 p.m.,Joseph Conrad Society of America,British Literature,Twentieth Century,
A096A,699,2004,Allied Organization,,Literary Visions of the Midwest,30-DEC-04,12:00 noon+1:15 p.m.,Society for the Study of Midwestern Literature,American Literature,Twentieth Century,
A015B,763,2004,Allied Organization,,The Power of Praxis $cII$k:  Implications for Professional-Communication Pedagogy,30-DEC-04,1:45+3:00 p.m.,,,,
A038A,311,2004,Allied Organization,,"New Perspectives on Clare and Nature: Ecology, Aesthetics, Natural History",28-DEC-04,7:15+8:30 p.m.,John Clare Society of North America,British Literature,Nineteenth Century/Romantics,
M002C,469,2004,MLA Organization,,Advanced Literacies in a Multilingual Society,29-DEC-04,12:00 noon+1:15 p.m.,Association of Departments of Foreign Languages,The Profession,Foreign Languages,
A009B,603,2004,Allied Organization,,Eloquent Dissent:  The Legacy of James Sledd,29-DEC-04,7:15+8:30 p.m.,American Dialect Society,Linguistics,English and American,
M022B,657,2004,MLA Organization,,It's 2010--Do You Know Where Your Data Is? Open Standards for Technology in the Academy,30-DEC-04,8:30+9:45 a.m.,Committee on Information Technology,General Literature,"Electronic Technology (Teaching, Research, and Theory)",
A021B,310,2004,Allied Organization,,New Perspectives in Technical Communication Research,28-DEC-04,7:15+8:30 p.m.,Association of Teachers of Technical Writing,The Teaching of Language and Literature,English and American/Writing,
A103B,106,2004,Allied Organization,,Women and Work in the Middle Ages,28-DEC-04,8:30+9:45 a.m.,Society for Medieval Feminist Scholarship,Comparative Literature,Medieval and Renaissance,
A078A,163,2004,Allied Organization,,Nabokov and Politics,28-DEC-04,12:00 noon+1:15 p.m.,International Vladimir Nabokov Society,American Literature,Twentieth Century,
A099B,762,2004,Allied Organization,,"Race, Caste, and Class in South Asian Literatures",30-DEC-04,1:45+3:00 p.m.,,,,
A053B,761,2004,Allied Organization,,New Directions in Hemingway Studies,30-DEC-04,1:45+3:00 p.m.,Ernest Hemingway Foundation and Society,American Literature,Twentieth Century,
M024A,5,2004,MLA Organization,,Welcome to the MLA,27-DEC-04,5:15+6:30 p.m.,,,,
D065B,602,2004,Division or Discussion Group,,Cuba in the Postmillennial Imagination,29-DEC-04,7:15+8:30 p.m.,,,,
D083A,622,2004,Division or Discussion Group,,Popular Culture in East Asia $cII$k: Naming and Power Politics,29-DEC-04,9:00+10:15 p.m.,,,,
M037C,295,2004,MLA Organization,Y,Cash Bar Arranged by the MLA Committee on Disability Issues in the Profession,28-DEC-04,5:15+6:30 p.m.,Committee on Disability Issues in the Profession,The Profession,General,
E009,291,2004,Social Event,Y,Cash Bar Arranged by Texas A&M University,28-DEC-04,5:15+6:30 p.m.,,,,
M012A,472,2004,MLA Organization,,Seals and Walruses: What Can We Learn from Bad Editions?,29-DEC-04,12:00 noon+1:15 p.m.,Committee on Scholarly Editions,The Profession,Publishing and Editing,
D086,426,2004,Division or Discussion Group,,Arabic Literature in and as Translation,29-DEC-04,10:15+11:30 a.m.,Arabic Literature and Culture,Other Literatures,Arabic,
A006A,774,2004,Allied Organization,,Lectura Boccaccii,30-DEC-04,1:45+3:00 p.m.,,,,
D040B,4,2004,Division or Discussion Group,,Constellations $cI$k:  The Social Life of Aesthetic Forms,27-DEC-04,5:15+6:30 p.m.,Sociological Approaches to Literature,General Literature,Literary Criticism and Theory,
D040C,213,2004,Division or Discussion Group,,Constellations $cII$k:  The Social Life of Aesthetic Forms,28-DEC-04,1:45+3:00 p.m.,Sociological Approaches to Literature,General Literature,Literary Criticism and Theory,
A101A,302,2004,Allied Organization,,Spenser and His Irish Contemporaries,28-DEC-04,7:15+8:30 p.m.,International Spenser Society,British Literature,Renaissance and Elizabethan,
A101B,732,2004,Allied Organization,,Spenser and the Gods,30-DEC-04,1:45+3:00 p.m.,International Spenser Society,British Literature,Renaissance and Elizabethan,
A055A,770,2004,Allied Organization,,Grillparzer in the Context of Nineteenth-Century Drama,30-DEC-04,1:45+3:00 p.m.,Modern Austrian Literature and Culture Association,German Literature,Twentieth Century,
A055B,551,2004,Allied Organization,,Family Ties: Representations of Family in Modern Austrian Literature and Culture,29-DEC-04,3:30+4:45 p.m.,Modern Austrian Literature and Culture Association,German Literature,Twentieth Century,
A087A,686,2004,Allied Organization,,Poe and the Ratiocinative Intellect,30-DEC-04,12:00 noon+1:15 p.m.,Poe Studies Association,American Literature,Before 1900,
D132,187,2004,Division or Discussion Group,,Yiddish Literature and Society,28-DEC-04,12:00 noon+1:15 p.m.,Yiddish Literature,Other Literatures,Jewish,
M026A,344,2004,MLA Organization,,Approaches to Teaching the Works of Louise Erdrich,29-DEC-04,8:30+9:45 a.m.,Publications Committee,The Profession,Publishing and Editing,
D050B,341,2004,Division or Discussion Group,,Teaching as Publishing,28-DEC-04,7:15+8:30 p.m.,Teaching as a Profession,The Teaching of Language and Literature,General,
D030B,512,2004,Division or Discussion Group,,Hybrids $cII$k: Generic Mixes,29-DEC-04,1:45+3:00 p.m.,the Victorian Period,British Literature,Nineteenth Century/Victorian,
D030C,607,2004,Division or Discussion Group,,Hybrids $cIII$k: Psychosocial Amalgams,29-DEC-04,9:00+10:15 p.m.,the Victorian Period,British Literature,Nineteenth Century/Victorian,
D099,182,2004,Division or Discussion Group,,Topics in Germanic Philology and Linguistics,28-DEC-04,12:00 noon+1:15 p.m.,Germanic Philology,Linguistics,Foreign Languages,
A059A,278,2004,Allied Organization,,The Courtly Gaze,28-DEC-04,3:30+4:45 p.m.,International Courtly Literature Society,Comparative Literature,Medieval and Renaissance,
D021A,631,2004,Division or Discussion Group,,Creating Community,30-DEC-04,8:30+9:45 a.m.,Old English Language and Literature,British Literature,Old and Middle English,
D021B,471,2004,Division or Discussion Group,,"Church, State, and History",29-DEC-04,12:00 noon+1:15 p.m.,Old English Language and Literature,British Literature,Old and Middle English,
D021C,183,2004,Division or Discussion Group,,Finding the Words: Old English Texts and Contexts,28-DEC-04,12:00 noon+1:15 p.m.,Old English Language and Literature,British Literature,Old and Middle English,
D105,606,2004,Division or Discussion Group,,"Jews, Gender, and Popular Culture",29-DEC-04,7:15+8:30 p.m.,Jewish Cultural Studies,General Literature,"Cultural Studies, Folklore, and Popular Culture",
D071A,346,2004,Division or Discussion Group,,Theology and the _Comedia_,29-DEC-04,8:30+9:45 a.m.,Sixteenth- and Seventeenth-Century Spanish Drama,Spanish Literature,Before 1700/Drama,
D071B,233,2004,Division or Discussion Group,,Geography and the _Comedia_,28-DEC-04,3:30+4:45 p.m.,Sixteenth- and Seventeenth-Century Spanish Drama,Spanish Literature,Before 1700/Drama,
D071C,513,2004,Division or Discussion Group,,Science and the _Comedia_,29-DEC-04,1:45+3:00 p.m.,Sixteenth- and Seventeenth-Century Spanish Drama,Spanish Literature,Before 1700/Drama,
D060B,231,2004,Division or Discussion Group,,Origins of Totalitarianism $cII$k: National Desires,28-DEC-04,1:45+3:00 p.m.,Nineteenth- and Early-Twentieth-Century German Literature,German Literature,Nineteenth and Early Twentieth Centuries,
A048A,771,2004,Allied Organization,,Voices in the Wilderness: Teaching Queer Studies,30-DEC-04,1:45+3:00 p.m.,Gay and Lesbian Caucus for the Modern Languages,General Literature,Literary Criticism and Theory/Gay,
A048B,554,2004,Allied Organization,Y,Cash Bar Arranged by the Gay and Lesbian Caucus for the Modern Languages,29-DEC-04,5:15+6:30 p.m.,Gay and Lesbian Caucus for the Modern Languages,General Literature,Literary Criticism and Theory/Gay,
A115B,185,2004,Allied Organization,,Children's Literature of Australia,28-DEC-04,12:00 noon+1:15 p.m.,American Association of Australian Literary Studies,Other Literature in English,Australian,
D119,422,2004,Division or Discussion Group,,Border Crossings in the World of Romance Literary (and Other) Relations,29-DEC-04,10:15+11:30 a.m.,Romance Literary Relations,General Literature,Literary Relations,
D007B,63,2004,Division or Discussion Group,,Urban Ethnicities,28-DEC-04,8:30+9:45 a.m.,Ethnic Studies in Language and Literature,American Literature,General,
D113,475,2004,Division or Discussion Group,,Theory of Opera Performance,29-DEC-04,1:45+3:00 p.m.,Opera as a Literary and Dramatic Form,General Literature,"Literature and Other Arts, Humanities, Law, Psychology, Science, and Sociology",
D075A,232,2004,Division or Discussion Group,,AIDS and Representation,28-DEC-04,3:30+4:45 p.m.,Gay Studies in Language and Literature,General Literature,Literary Criticism and Theory/Gay,
D115,573,2004,Division or Discussion Group,,Actually Existing Colonialisms,29-DEC-04,7:15+8:30 p.m.,Postcolonial Studies in Literature and Culture,General Literature,Literary Criticism and Theory,
A029A,731,2004,Allied Organization,,Ecocritical  Perspectives on Urban Spaces,30-DEC-04,1:45+3:00 p.m.,Association for the Study of Literature and the Environment,General Literature,"Literature and Other Arts, Humanities, Law, Psychology, Science, and Sociology",
D122,428,2004,Division or Discussion Group,,Alternative Collectivities: Reimagining the Social,29-DEC-04,12:00 noon+1:15 p.m.,Science Fiction and Utopian and Fantastic Literature,General Literature,"Themes, Myths, and Archetypes",
A106A,377,2004,Allied Organization,,Homage to Manuel Vázquez Montalbán,29-DEC-04,10:15+11:30 a.m.,Twentieth-Century Spanish Association of America,Spanish Literature,Twentieth Century,
A106B,683,2004,Allied Organization,,Transoceanic Perspectives on Twentieth-Century Peninsular Studies,30-DEC-04,12:00 noon+1:15 p.m.,Twentieth-Century Spanish Association of America,Spanish Literature,Twentieth Century,
D096,150,2004,Division or Discussion Group,,"Get Down: Disability, Depression, and Difference",28-DEC-04,12:00 noon+1:15 p.m.,Disability Studies,General Literature,Literary Criticism and Theory,
A050B,299,2004,Allied Organization,,Goethe and Schiller Revisited,28-DEC-04,7:15+8:30 p.m.,Goethe Society of North America,German Literature,Eighteenth and Early Nineteenth Centuries,
D074A,300,2004,Division or Discussion Group,,Children's Literature and the Left,28-DEC-04,7:15+8:30 p.m.,Children's Literature,General Literature,Children's Literature,
D074C,66,2004,Division or Discussion Group,,Philip Pullman and _His Dark Materials_,28-DEC-04,8:30+9:45 a.m.,Children's Literature,General Literature,Children's Literature,
D050A,473,2004,Division or Discussion Group,,Contingent Faculty Members and Profession Practices,29-DEC-04,12:00 noon+1:15 p.m.,Teaching as a Profession,The Teaching of Language and Literature,General,
M022A,515,2004,MLA Organization,,Evaluating Teaching and Scholarship in New Media,29-DEC-04,3:30+4:45 p.m.,Committee on Information Technology,General Literature,"Electronic Technology (Teaching, Research, and Theory)",
A001A,685,2004,Allied Organization,,"Violence, Ethics, and Literature",30-DEC-04,12:00 noon+1:15 p.m.,,,,
D061A,342,2004,Division or Discussion Group,,Globalism and Its Impact on German Studies,28-DEC-04,7:15+8:30 p.m.,Twentieth-Century German Literature,German Literature,Twentieth Century,
D061B,109,2004,Division or Discussion Group,,The Discursive and Textual Effects of Globalism,28-DEC-04,10:15+11:30 a.m.,Twentieth-Century German Literature,German Literature,Twentieth Century,
D055A,45,2004,Division or Discussion Group,,Geriatric Sex,27-DEC-04,7:00+8:15 p.m.,Nineteenth-Century French Literature,French Literature,Eighteenth and Nineteenth Centuries,
D055C,574,2004,Division or Discussion Group,,Feminists and Antifeminists,29-DEC-04,7:15+8:30 p.m.,Nineteenth-Century French Literature,French Literature,Eighteenth and Nineteenth Centuries,
A027A,773,2004,Allied Organization,,Cervantes and the Hapsburgs,30-DEC-04,1:45+3:00 p.m.,Cervantes Society of America,Spanish Literature,Medieval and Renaissance,
A027B,147,2004,Allied Organization,,Business Meeting of the Cervantes Society of America,28-DEC-04,10:15+11:30 a.m.,Cervantes Society of America,Spanish Literature,Medieval and Renaissance,
D062A,301,2004,Division or Discussion Group,,Models for Life and Art: Petrarch and Alberti,28-DEC-04,7:15+8:30 p.m.,,,,
D062C,25,2004,Division or Discussion Group,,Curiosity and Conflict: From Boccaccio to Tasso,27-DEC-04,7:00+8:15 p.m.,,,,
D089,548,2004,Division or Discussion Group,,Packaging Canada:  Canadian Booker Prize Winners and Oprah Best Sellers,29-DEC-04,3:30+4:45 p.m.,Canadian Literature in English,Other Literature in English,Canadian,
A040B,688,2004,Allied Organization,,Fifty Years after _A Fable_,30-DEC-04,12:00 noon+1:15 p.m.,William Faulkner Society,American Literature,Twentieth Century,
A041A,393,2004,Allied Organization,,Dickens Life Stories,29-DEC-04,10:15+11:30 a.m.,Dickens Society,British Literature,Nineteenth Century,
A041B,737,2004,Allied Organization,,"Dickens and Accounting: Numbers, Realism, and the Keeping of the Books",30-DEC-04,1:45+3:00 p.m.,Dickens Society,British Literature,Nineteenth Century,
D078B,524,2004,Division or Discussion Group,,Opening the Canon in the Field of Colonial Latin American Studies,29-DEC-04,3:30+4:45 p.m.,,,,
D078C,161,2004,Division or Discussion Group,,Public Spectacles and Clandestine Performances in Colonial Latin America,28-DEC-04,12:00 noon+1:15 p.m.,,,,
D117,381,2004,Division or Discussion Group,,Reading Troubadour Lyric,29-DEC-04,10:15+11:30 a.m.,Provençal Language and Literature,Other Literatures,Provençal,
D129,420,2004,Division or Discussion Group,,Travel Literature and War,29-DEC-04,10:15+11:30 a.m.,Travel Literature,The Profession,General,
D072C,595,2004,Division or Discussion Group,,Narrative and Medicine: Interventions into the Life Cycle,29-DEC-04,7:15+8:30 p.m.,Literature and Science,General Literature,"Literature and Other Arts, Humanities, Law, Psychology, Science, and Sociology",
A103A,758,2004,Allied Organization,,Electronic Publishing and Feminist Practice,30-DEC-04,1:45+3:00 p.m.,Society for Medieval Feminist Scholarship,Comparative Literature,Medieval and Renaissance,
D054A,505,2004,Division or Discussion Group,,"Communication: Forms, Techniques, Ideals",29-DEC-04,1:45+3:00 p.m.,Eighteenth-Century French Literature,French Literature,Eighteenth and Nineteenth Centuries,
D054B,22,2004,Division or Discussion Group,,Critique and Criticism,27-DEC-04,5:15+6:30 p.m.,Eighteenth-Century French Literature,French Literature,Eighteenth and Nineteenth Centuries,
D103,160,2004,Division or Discussion Group,,The Poetry of Resistance: When Wal-Mart Comes to Little Italy,28-DEC-04,12:00 noon+1:15 p.m.,Italian American Literature,American Literature,Twentieth Century,
D054C,195,2004,Division or Discussion Group,,"The Other Theaters: Foire, Boulevard, Parade",28-DEC-04,1:45+3:00 p.m.,Eighteenth-Century French Literature,French Literature,Eighteenth and Nineteenth Centuries,
D080B,306,2004,Division or Discussion Group,,Lamenting Tribal-Language Loss,28-DEC-04,7:15+8:30 p.m.,American Indian Literatures,American Literature,General/Indian,
D082B,374,2004,Division or Discussion Group,,Class Critique and the Work of Asian American Literature,29-DEC-04,8:30+9:45 a.m.,Asian American Literature,American Literature,General/Asian,
D080C,504,2004,Division or Discussion Group,,"In Honor of James Welch:  Shaping Native American Literature, Voicing Native American Experience",29-DEC-04,1:45+3:00 p.m.,American Indian Literatures,American Literature,General/Indian,
D106,305,2004,Division or Discussion Group,,"Law, Literature, and Feminist Discourses",28-DEC-04,7:15+8:30 p.m.,Law as Literature,General Literature,"Literature and Other Arts, Humanities, Law, Psychology, Science, and Sociology",
D045A,24,2004,Division or Discussion Group,,The Perils of Databases for Studying Language Change,27-DEC-04,7:00+8:15 p.m.,Language Change,Linguistics,General,
D045C,143,2004,Division or Discussion Group,,Language Change: Premodern Syntax and Meter,28-DEC-04,10:15+11:30 a.m.,Language Change,Linguistics,General,
A028A,767,2004,Allied Organization,,Here and Now: Approaches to Current Events through Children's Literature,30-DEC-04,1:45+3:00 p.m.,Children's Literature Association,General Literature,Children's Literature,
A116A,766,2004,Allied Organization,,New Approaches to Boethius,30-DEC-04,1:45+3:00 p.m.,International Boethius Society,Comparative Literature,Medieval and Renaissance,
A026A,419,2004,Allied Organization,,Margaret Fuller and the Discourses of Liberty,29-DEC-04,10:15+11:30 a.m.,Margaret Fuller Society,American Literature,Before 1900,
A066B,695,2004,Allied Organization,,Doris Lessing: Prophet or Maverick?,30-DEC-04,12:00 noon+1:15 p.m.,Doris Lessing Society,British Literature,Twentieth Century,
A028B,241,2004,Allied Organization,,Food in Children's Literature,28-DEC-04,3:30+4:45 p.m.,Children's Literature Association,General Literature,Children's Literature,
D108,418,2004,Division or Discussion Group,,Multilingualism and Modernism,29-DEC-04,10:15+11:30 a.m.,Literature of the United States in Languages Other Than English,American Literature,General,
A035B,747,2004,Allied Organization,,Tolkien Our Contemporary,30-DEC-04,1:45+3:00 p.m.,,,,
M014A,474,2004,MLA Organization,,MLA Delegate Assembly,29-DEC-04,1:00 p.m.,Delegate Assembly,The Profession,General,
M023A,155,2004,MLA Organization,,Open Hearing on Resolutions,28-DEC-04,12:00 noon+1:15 p.m.,Delegate Assembly Organizing Committee,The Profession,General,
M023B,190,2004,MLA Organization,,Open Hearing of the Delegate Assembly,28-DEC-04,1:45+3:00 p.m.,Delegate Assembly Organizing Committee,The Profession,General,
M018A,343,2004,MLA Organization,,The Presidential Address,28-DEC-04,8:40 p.m.,Presidential Address,The Profession,General,
M023C,,2004,MLA Organization,,Closed Meeting of the DAOC,28-DEC-04,3:30+4:45 p.m.,Delegate Assembly Organizing Committee,The Profession,General,
A002A,720,2004,Allied Organization,,Celebrating Jewish Literature and 350 Years of Jewish Life in America,30-DEC-04,12:00 noon+1:15 p.m.,American Association of Professors of Yiddish,Other Literatures,Jewish,
D133,124,2004,Division or Discussion Group,,"Las fronteras del estudio mexicanista, el estudio mexicanista de la frontera",28-DEC-04,10:15+11:30 a.m.,,,,
D120,519,2004,Division or Discussion Group,,Constructing Postcommunist Eastern Europe: New Faces of the Imaginary,29-DEC-04,3:30+4:45 p.m.,Romanian Studies,Other Literatures,Romanian,
